cod_articulo,numero_proveedor,numero_deposito,cantidad,p_pesos,p_dolar
86774299,SDVK,1A,0,0,67.99
15235798,SDVK,1A,17,0,840.27
15225488,SDVK,1A,14,0,223.78
80759069,SDVK,1A,8,0,601.5
55025900,SDVK,1A,8,0,2375.81
88630449,SDVK,1A,8,0,871.75
62392418,SDVK,1A,0,0,42.17
55002895,SDVK,1A,0,0,609.46
23501198,SDVK,1A,1,0,403.84
55024054,SDVK,1A,1,0,33.01
23503238,SDVK,1A,1,0,157.16
55012389,SDVK,1A,1,0,259.08
86663119,SDVK,1A,2,0,52.07
85119609,SDVK,1A,6,0,35.56
55026014,SDVK,1A,1,0,69.85
15252288,SDVK,1A,1,0,78.74
15252308,SDVK,1A,1,0,139.7
55026797,SDVK,1A,1,0,190.5
55026798,SDVK,1A,1,0,69.85
15226648,SDVK,1A,1,0,86.36
15251968,SDVK,1A,1,0,172.72
15412858,SDVK,1A,1,0,13.97
23508158,SDVK,1A,1,0,21.59
23501628,SDVK,1A,1,0,35.56
23501348,SDVK,1A,1,0,86.36
13488718,SDVK,1A,4,0,129.54
88177759,SDVK,1A,1,0,129.54
55004352,SDVK,1A,1,0,215.59
3267728,SDVK,1A,8,0,207.01
86727289,SDVK,1A,2,0,254
55026146,SDVK,1A,1,0,101.6
55026124,SDVK,1A,1,0,177.8
55025889,SDVK,1A,1,0,63.5
55026796,SDVK,1A,1,0,190.5
55020792,SDVK,1A,1,0,381
15068938,SDVK,1A,1,0,86.36
55020793,SDVK,1A,1,0,571.5
55026123,SDVK,1A,1,0,698.5
55026799,SDVK,1A,1,0,165.1
15414188,SDVK,1A,1,0,533.4
9704908,SDVK,1A,1,0,273.05
9256478,SDVK,1A,1,0,215.9
9705508,SDVK,1A,1,0,76.2
9671418,SDVK,1A,1,0,0
15413458,SDVK,1A,1,0,689
88645009,SDVK,1A,1,0,135.58
02250057-036,SULL,1A,0,0,426.85
250041-081,SULL,1A,1,0,1.07
2572015,F.CAT,1A,1,0,1.02
