"codigo,""descripcion"",""unidad_medida"",""tipo"""
"925104-05023,""SWITCH ASSY"",""UNIDAD"",""REPUESTOS"""
"040123-010240,""AIR CLEANER HOSE"",""UNIDAD"",""REPUESTOS"""
"970404-00001,""FEED MOTOR (MOTORIN DE AVANCE DE MARTILLO)"",""UNIDAD"",""REPUESTOS"""
"040400-03014,""ELEMENT FILTER"",""UNIDAD"",""REPUESTOS"""
"2897331,""SENSOR DE PRESION"",""UNIDAD"",""REPUESTOS"""
"4921322 - 2897333,""SENSOR PRESION DE TEMPERATURA"",""UNIDAD"",""REPUESTOS"""
"3975076,""TUBO DESCARGA DE TURBO"",""UNIDAD"",""REPUESTOS"""
"4921497,""SENSRO PRESION DE ADMISION"",""UNIDAD"",""REPUESTOS"""
"2872277,""SENSOR POSITION"",""UNIDAD"",""REPUESTOS"""
"4954905,""SENSOR DE TEMPERATURA"",""UNIDAD"",""REPUESTOS"""
"3971371,""TUBO RESPIRADOR TAPA DE VALVULA"",""UNIDAD"",""REPUESTOS"""
"3071049,""HOSE FLEXIBLE"",""UNIDAD"",""REPUESTOS"""
"3926704,""ABRAZADERA MANGUERA FLEXIBLE"",""UNIDAD"",""REPUESTOS"""
"4939588,""BOMBA DE ACEITE"",""UNIDAD"",""REPUESTOS"""
"4076930,""SENSOR DE PRESION DE ACEITE"",""UNIDAD"",""REPUESTOS"""
"3286499,""TURBO DRAIN PIPE HOUSE (CONEXIÓN TUBO DE DESCARGA TURBO)"",""UNIDAD"",""REPUESTOS"""
"5264569,""JUNTA DESCARGA DE TURBO"",""UNIDAD"",""REPUESTOS"""
"3945191,""CONECTION, TUR OIL DRAIN"",""UNIDAD"",""REPUESTOS"""
"3931973,""TUBE, TUR OIL DRAIN"",""UNIDAD"",""REPUESTOS"""
"3286499,""HOSE, PLAIN"",""UNIDAD"",""REPUESTOS"""
"3931824,""O´RING"",""UNIDAD"",""REPUESTOS"""
"3969988,""GASKET, CONECTION"",""UNIDAD"",""REPUESTOS"""
"3970001,""HEATER INTAKER AIR"",""UNIDAD"",""REPUESTOS"""
"5257595,""ACTUADOR ETR FUEL CONTROL"",""UNIDAD"",""REPUESTOS"""
"3947269,""SEAL, O´RING"",""UNIDAD"",""REPUESTOS"""
"5297641,""SENSOR PRESSURE RIEL"",""UNIDAD"",""REPUESTOS"""
"3957290,""VALVE, CHECK"",""UNIDAD"",""REPUESTOS"""
"3030770,""HOSE ELBOW"",""UNIDAD"",""REPUESTOS"""
"NA00005,""TURBO HOLSET CUMMIINS"",""UNIDAD"",""REPUESTOS"""
"NA00006,""INYECTORES CUMMINS QSB 5.9"",""UNIDAD"",""REPUESTOS"""
"5263262,""INYECTORES CUMMINS QSB 6,7 (120231 BOSCH)"",""UNIDAD"",""REPUESTOS"""
"5362274,""PUMP FUEL TRANSFER"",""UNIDAD"",""REPUESTOS"""
"NA00007,""CORREA AIRE ACONDICIONADO QSB 6,7"",""UNIDAD"",""REPUESTOS"""
"4921601,""SENSOR POSITION CIGÜEÑAL EDII"",""UNIDAD"",""REPUESTOS"""
"3943771,""TUBE, INYECTOR FUEL SUPPLY"",""UNIDAD"",""REPUESTOS"""
"3943775,""TUBE INYECTOR FUEL SUPPLY"",""UNIDAD"",""REPUESTOS"""
"3943773,""TUBE INYECTOR FUEL SUPPLY"",""UNIDAD"",""REPUESTOS"""
"3943769,""TUBE INYECTOR FUEL SUPPLY"",""UNIDAD"",""REPUESTOS"""
"3943765,""TUBE INYECTOR FUEL SUPPLY"",""UNIDAD"",""REPUESTOS"""
"3943767,""TUBE INYECTOR FUEL SUPPLY"",""UNIDAD"",""REPUESTOS"""
"3282942,""BRACE, TUBE"",""UNIDAD"",""REPUESTOS"""
"3919294,""BRACE, TUBE"",""UNIDAD"",""REPUESTOS"""
"3917716,""BRACE, TUBE"",""UNIDAD"",""REPUESTOS"""
"3942372,""BRACE, TUBE"",""UNIDAD"",""REPUESTOS"""
"3917717,""BRACE, TUBE"",""UNIDAD"",""REPUESTOS"""
"3917747,""ISOLATOR, VIBRATION"",""UNIDAD"",""REPUESTOS"""
"3942758,""BRACE, TUBE"",""UNIDAD"",""REPUESTOS"""
"3904711,""BRACE, TUBE"",""UNIDAD"",""REPUESTOS"""
"3904519,""BRACE, TUBE"",""UNIDAD"",""REPUESTOS"""
"3919359,""ISOLATOR, VIBRATION"",""UNIDAD"",""REPUESTOS"""
"3920854,""SCREW, CAPTIVE WASHER CAP (TORNILLOS)"",""UNIDAD"",""REPUESTOS"""
"3917746,""ISOLATOR, VIBRATION"",""UNIDAD"",""REPUESTOS"""
"3946440,""BRACE, TUBE"",""UNIDAD"",""REPUESTOS"""
"20122,""BOMBA INYECTORA BOSCH (CUMMINS 6.7)"",""UNIDAD"",""REPUESTOS"""
"5292708,""TERMOSTATO CUMMINS 6,7"",""UNIDAD"",""REPUESTOS"""
"3214-2536-00,""PIÑÓN CARRETEL MANGUERAS"",""UNIDAD"",""REPUESTOS"""
"3222-3107-08,""PIÑÓN CADENA DE PLUMA"",""UNIDAD"",""REPUESTOS"""
"3222-1938-00,""PIÑON MOTORIN DE AVANCE"",""UNIDAD"",""REPUESTOS"""
"3222-1488-00,""SENSOR PROIMIDAD"",""UNIDAD"",""REPUESTOS"""
"0666-6718-00,""RETEN EJE CARRETEL MANGUERAS"",""UNIDAD"",""REPUESTOS"""
"3115-2196-81,""VALVULA CHECK"",""UNIDAD"",""REPUESTOS"""
