CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN,DESCRIPCIÓN ADICIONAL
10276466,unidad,KNOB-LK-SS-FOR BEDROOM-BATH,CERRADURA- DE POMOS- ACERO INOXIDABLE- SCANAVINI- 4044-AI
10254918,unidad,KEY-FOR LOCKS VIRGENES PRIVE 200,LLAVE- VIRGEN- PARA CERRADURA PRIVE 200
10276467,unidad,LOCK-DOOR-DBL VANE-PADL,CERRADURA- PUERTA- DOBLE PALETA- PRIVE 200
10252630,unidad,LATCH-DOOR-CMMN-NO BRZ,PICAPORTES PARA PUERTA COMUN (NO BRONCE)
10250332,unidad,PUTTY-15 KG-MAXHAUS-FOR PLASTERBOARD,MAXHAUS- MASILLA- MASILLA PARA PLACA DE YESO- 15KG
10276468,unidad,BOARD-2.4 X 1.25 MM-1.2 MM,MAXHAUS- PLANCHA DE PARED- DE YESO- 1.20 X 2.40M- R/F 12.5MM
10252632,unidad,HINGE-DOOR-ACCS-BK-DBL ACTN-3 X 2 IN,BISAGRA- PUERTA ACCESO- LIBRO- DOBLE ACCION- 3IN X 2IN
10251484,unidad,HINGE-DOOR-ACCS-BK-120 X 27 X 3 X 1.5 MM,BISAGRA- PUERTA ACCESO- LIBRO- PULIDA- 120MM- 27MM- 3MM X 1.5MM
10251486,unidad,HINGE-DBL-LTCH-140 MM-GALVZ-REF-POMELA,PASADOR BISAGRA- POMELA- 140MM- ZINCADA DOBLE
10251487,unidad,HINGE-LTCH-140 MM-GALVZ-REF-POMELA,PASADOR BISAGRA- POMELA- 140MM- ZINCADA
10254919,unidad,SEAT COVER-TOILET-WC-W/ HNGE CHRM,ASIENTO- PARA WC- CON BISAGRA CROMADA- MARCA- BEMIS
10251488,unidad,HINGE-DOOR-ACCS-CLOSET,BISAGRA- PUERTA ACCESO- BISAGRAS PARA CLOSET
10250342,unidad,ELBOW-PIPE-3.2 MM-45 DEG-40 MM-PVC,CODO- TUBERIAS- 45DEG- 40MM- PVC- 3.2MM- HM
10252643,unidad,ELBOW-PIPE-3.2 MM-45 DEG-50 MM-PVC,CODO- TUBERIAS- 45DEG- 50MM- PVC- 3.2MM- HM
10252644,unidad,ELBOW-PIPE-3.2 MM-45 DEG-110 MM-PVC,CODO- TUBERIAS- 45DEG- 110MM- PVC- 3.2MM- HM
10252645,unidad,ELBOW-PIPE-3.2 MM-90 DEG-40 MM-PVC,CODO- TUBERIAS- 90DEG- 40MM- PVC- 3.2MM- HM
10250343,unidad,ELBOW-PIPE-3.2 MM-90 DEG-50 MM-PVC,CODO- TUBERIAS- 90DEG- 50MM- PVC- 3.2MM- HM
10250344,unidad,ELBOW-PIPE-3.2 MM-90 DEG-110 MM-PVC,CODO- TUBERIAS- 90DEG- 110MM- PVC- 3.2MM- HM
10254928,unidad,ELBOW-PIPE-3.2 MM-FLG INVERSION-45 DEG,CODO- BRIDA- INVERSION- CURVA- 3.2MM- 63MM- PVC- 45DEG
10252646,unidad,ELBOW-PIPE-3.2 MM-FLG INVERSION-90 DEG,CODO- BRIDA- INVERSION- CURVA- 3.2MM- 40MM- PVC- 90DEG
10250345,unidad,ELBOW-PIPE-3.2 MM-FLG INVERSION-90 DEG,CODO- BRIDA- INVERSION- CURVA- 3.2MM- 50MM- PVC- 90DEG
10252647,unidad,ELBOW-PIPE-3.2 MM-FLG INVERSION-90 DEG,CODO- BRIDA- INVERSION- CURVA- 3.2MM- 110MM- PVC- 90DEG
10276470,unidad,MAT-FLOR-40 X 63 X 3.2 MM-PVC-POOL-5 ENT,PISCINA- PILETA DE PISO- 5 ENT. 40MM - SAL. 63MM- 15 X 15- PVC 3.2MM
10276471,unidad,CONNECTOR-PIPE-40 X 3.2 MM-PVC-45 DEG-MH,CONECTOR- TUBERIAS- RAMIFICADO- 45DEG- 40MM- 3.2MM- PVC- RAMAL- MH
