codigo,marca,modelo,tipo,descripcion,panol
AL 8579,Hamilton,ult116,Inalámbricas,Sierra sable inalámbrica,Pañol Veladero
AL 8580,Wembley,5/16´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8581,Wembley,5/16´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8582,Wembley,5/16´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8583,Bremen,3/8´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8584,Bremen,3/8´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8585,Bremen,3/8´´ x 65 mm,Manuales,Boquilla magnética,Pañol Veladero
AL 8586,Santa Juana ,Hierro de 30 cm,Medición,Escuadra,Pañol Veladero
AL 8587,Hamilton,60 cm magnético,Medición,Nivel de aluminio,Pañol Veladero
AL 8588,Hamilton,60 cm magnético,Medición,Nivel de aluminio,Pañol Veladero
AL 8589,Evel,505,Medición,Cinta métrica de 5m,Pañol Veladero
AL 8590,Evel,505,Medición,Cinta métrica de 5m,Pañol Veladero
AL 8594,N/A,600 gr,Manuales,Masa de goma,Pañol Veladero
AL 8595,Bremen,"8""",De Corte,Alicate corte oblicuo,Pañol Veladero
AL 8596,Bremen,"8""",Manuales,Pinza universal,Pañol Veladero
AL 8597,N/A,manija inyectada,Manuales,Balde de albañil plástico,Pañol Veladero
AL 8598,N/A,manija inyectada,Manuales,Balde de albañil plástico,Pañol Veladero
AL 8599,N/A,manija inyectada,Manuales,Balde de albañil plástico,Pañol Veladero
AL 8600,N/A,manija inyectada,Manuales,Balde de albañil plástico,Pañol Veladero
AL 8601,N/A,manija inyectada,Manuales,Balde de albañil plástico,Pañol Veladero
AL 8602,Bremen,N/A,Medición,Chocla,Pañol Veladero
AL 8603,Bremen,N/A,Medición,Chocla,Pañol Veladero
AL 8604,Crecchio,N/A,Medición,Nivelador de cerámico,Pañol Veladero
AL 8605,Bremen,"8""",Manuales,Cuchara de albañil forjada,Pañol Veladero
AL 8606,Bremen,"8""",Manuales,Cuchara de albañil forjada,Pañol Veladero
AL 8607,Gardex,8 x 8 /250,Manuales,Llana dentada,Pañol Veladero
AL 8608,Gardex,9 x 8 /250,Manuales,Llana dentada,Pañol Veladero
AL 8609,Coner,28 x 13 cm,Manuales,Llana lisa mango abierto,Pañol Veladero
AL 8610,Coner,28 x 13 cm,Manuales,Llana lisa mango abierto,Pañol Veladero
AL 8611,Coner,28 x 13 cm,Manuales,Llana lisa mango abierto,Pañol Veladero
AL 8612,Coner,28 x 13 cm,Manuales,Llana lisa mango abierto,Pañol Veladero
AL 8613,N/A,505,Medición,Cinta métrica de 5 mts,Pañol Veladero
AL 8614,N/A,505,Medición,Cinta métrica de 5 mts,Pañol Veladero
AL 8615,Bremen,"7""",Manuales,Pinza universal,Pañol Veladero
AL 8616,Santa Juana ,30 cm,Medición,Escuadra,Pañol Veladero
