CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN
0001-1509-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1516-600,UN,DETECTOR DE FLUJO, COMP.
0001-1518-000,UN,ILUMINACIÓN DE LA MIRILLA
0001-1518-410,UN,MIRILLA
0001-1519-000,UN,ILUMINACIÓN DE LA MIRILLA
0001-1519-010,UN,LÁMPARA
0001-1519-410,UN,MIRILLA
0001-1521-410,UN,MIRILLA
0001-1526-280,UN,TERMÓMETRO DE MAQUINA
0001-1533-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1534-410,UN,CAUDALÍMETRO
0001-1535-750,UN,JUNTA ANULAR
0001-1535-820,UN,MIRILLA DE INSPECCIÓN
0001-1537-400,UN,MIRILLA, COMP.
0001-1538-400,UN,MIRILLA, COMP.
0001-1539-400,UN,MIRILLA, COMP.
0001-1540-400,UN,MIRILLA, COMP.
0001-1542-400,UN,INDICADOR DE FLUJO
0001-1542-600,UN,INDICADOR DE FLUJO
0001-1542-610,UN,CABEZAL DE CONEXIÓN
0001-1561-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1564-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1569-600,UN,CAUDALÍMETRO
0001-1572-600,UN,TRANSDUCTOR DE PRESIÓN
0001-1572-990,UN,RÓTULO ADHESIVO
0001-1574-400,UN,DETECTOR DE FLUJO
0001-1579-400,UN,TERMÓMETRO DE RESISTENCIA
0001-1583-000,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1586-000,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1587-000,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1590-400,UN,TAPA CIEGA
0001-1597-300,UN,TRANSDUCTOR DE PRESIÓN
0001-1602-360,UN,MIRILLA
0001-1603-360,UN,MIRILLA CON ILUMINACIÓN, COMP.
0001-1604-400,UN,MIRILLA
0001-1604-820,UN,MIRILLA DE INSPECCIÓN
0001-1605-400,UN,CAUDALÍMETRO
0001-1606-400,UN,CAUDALÍMETRO
0001-1608-400,UN,CAUDALÍMETRO
0001-1609-400,UN,CAUDALÍMETRO
0001-1612-300,UN,TRANSDUCTOR DE PRESIÓN
0001-1613-300,UN,TRANSDUCTOR DE PRESIÓN
0001-1614-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1615-400,UN,CAUDALÍMETRO
0001-1618-820,UN,MIRILLA DE INSPECCIÓN
0001-1620-400,UN,MIRILLA
0001-1621-400,UN,MIRILLA
0001-1621-820,UN,MIRILLA DE INSPECCIÓN
0001-1622-400,UN,MIRILLA
0001-1623-400,UN,MIRILLA
0001-1624-400,UN,MIRILLA
0001-1628-400,UN,CAJA DE MIRILLA
0001-1629-400,UN,CAJA DE MIRILLA
0001-1631-400,UN,CAJA DE MIRILLA
0001-1632-400,UN,CAJA DE MIRILLA
0001-1635-400,UN,PLACA DE CIERRE
0001-1647-400,UN,TERMÓMETRO DE MAQUINA
0001-1649-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1654-400,UN,MIRILLA
0001-1656-400,UN,BRIDA
0001-1657-400,UN,BRIDA
0001-1658-400,UN,BRIDA
0001-1662-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1663-800,UN,MIRILLA
0001-1664-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1665-700,UN,CAUDALÍMETRO
0001-1679-400,UN,PLACA PERFORADA
0001-1701-600,UN,TRANSDUCTOR DE PRESIÓN
0001-1702-000,UN,MEDIDOR DE FLUJO VOLUMÉTRICO
0001-1702-100,UN,MEDIDOR DE FLUJO VOLUMÉTRICO
0001-1707-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1708-000,UN,TRANSDUCTOR DE PRESIÓN
0001-1722-400,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1724-400,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1725-400,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1726-400,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
